Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore,measureTreeSize,measureNumLeaves,measureNumRules,measureOutOfBagError
flag,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010291939E7,10260.0,1140.0,902.0,238.0,0.0,79.12280701754386,20.87719298245614,0.0,0.39388794567062824,0.21929792022083539,0.40312024190944057,78.93494413560931,108.16851003842908,741.0255856621533,1033.8204270257072,-292.7948413635539,0.6500224435632923,0.9068600237067607,-0.25683758014346836,6.656493017786923,0.0058390289629709855,0.8982811317964043,0.8147368421052632,774.0,0.3263157894736842,62.0,0.6736842105263158,128.0,0.18526315789473685,176.0,0.9258373205741627,0.8147368421052632,0.8667413213885777,0.41161675813545306,0.8333296398891967,0.9564518870234738,0.7912280701754386,0.30280701754385964,0.6971929824561404,0.20877192982456141,0.8417065390749601,0.7912280701754386,0.8086542050707783,0.41161675813545306,0.8333296398891967,0.8935061541216407,0.6924799724351796,0.7912280701754386,0.379,0.012,0.38,0.01,380.0,10.0,37337.0,3665903.0,410063.0,93.6842105263158,67.63157894736842,?,0.0,0.0,0.0,0.0,-433077.95290188096,-433813.94001353625,-433911.2524091189,-432720.92907358886,-432391.92907358886,?,?,?,?
flag,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010291939E7,10260.0,1140.0,894.0,246.0,0.0,78.42105263157895,21.57894736842105,0.0,0.344582593250444,0.22215873404737788,0.4062770628792685,79.9646765624062,109.01557397931911,741.0255856621533,1100.1596114812764,-359.13402581912317,0.6500224435632923,0.9650522907730495,-0.3150298472097572,-8.717213800068537,-0.007646678771989945,-1.1763715003550321,0.8242105263157895,783.0,0.41578947368421054,79.0,0.5842105263157895,111.0,0.17578947368421052,167.0,0.9083526682134571,0.8242105263157895,0.8642384105960266,0.35446282349222147,0.8018393351800555,0.9455797607713512,0.7842105263157895,0.3757894736842105,0.6242105263157895,0.21578947368421053,0.8235073194344756,0.7842105263157895,0.7992585045565178,0.35446282349222147,0.8018393351800555,0.8799738117509465,0.6692986924775005,0.7842105263157895,0.272,0.003,0.26,0.01,260.0,10.0,37213.0,3665903.0,410063.0,93.0701754385965,66.53508771929825,?,0.0,0.0,0.0,0.0,-438043.6178345157,-438763.5482533749,-438864.029709777,-437688.1783904845,-437363.1783904845,?,?,?,?
flag,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010291939E7,10260.0,1140.0,941.0,199.0,0.0,82.54385964912281,17.45614035087719,0.0,0.4611913357400722,0.194858580967051,0.3709791770187245,70.13815355608156,99.54415745367787,741.0255856621533,875.0277400308859,-134.0021543687326,0.6500224435632923,0.767568193009549,-0.11754574944625666,83.92252762991107,0.07361625230693954,11.32518623563058,0.8536842105263158,811.0,0.3157894736842105,60.0,0.6842105263157895,130.0,0.1463157894736842,139.0,0.931113662456946,0.8536842105263158,0.8907193849533224,0.47211813238231065,0.8520941828254848,0.9632687690226415,0.8254385964912281,0.2875438596491228,0.7124561403508772,0.17456140350877192,0.856473281291569,0.8254385964912281,0.8366742877515886,0.4721181323823107,0.8520941828254848,0.9064662669625876,0.7285840933481209,0.8254385964912281,0.25,0.004,0.26,0.0,260.0,0.0,37396.0,3665903.0,410063.0,94.3859649122807,66.71052631578948,?,0.0,0.0,0.0,0.0,-440245.80934984604,-440980.5451224155,-441081.93250944867,-439884.37316579995,-439553.37316579995,?,?,?,?
flag,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010291939E7,10260.0,1140.0,926.0,214.0,0.0,81.2280701754386,18.771929824561404,0.0,0.41742286751361146,0.1997937318927752,0.3798691708160739,71.91453092541799,101.92959307148585,741.0255856621533,909.3671574082091,-168.34157174605582,0.6500224435632923,0.7976904889545694,-0.14766804539127704,82.04820560792123,0.07197211018238704,11.072250026914519,0.8473684210526315,805.0,0.3631578947368421,69.0,0.6368421052631579,121.0,0.15263157894736842,145.0,0.9210526315789473,0.8473684210526315,0.8826754385964912,0.4266544649356724,0.8437617728531855,0.9609615363647521,0.8122807017543859,0.3280701754385965,0.6719298245614035,0.18771929824561404,0.843358395989975,0.8122807017543859,0.8240131578947368,0.4266544649356724,0.8437617728531855,0.8952104028830771,0.7066885964912281,0.8122807017543859,0.254,0.004,0.25,0.01,250.0,10.0,38427.0,3665903.0,410063.0,93.85964912280701,66.3157894736842,?,0.0,0.0,0.0,0.0,-440546.0689940324,-441404.215087153,-441529.1737152099,-440208.6022335428,-439843.6022335428,?,?,?,?
flag,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010291939E7,10260.0,1140.0,942.0,198.0,0.0,82.63157894736842,17.36842105263158,0.0,0.47246891651865014,0.19078496318791002,0.36701527739937456,68.67187976970678,98.48053158925575,741.0255856621533,860.2292429206049,-119.20365725845159,0.6500224435632923,0.754587055193513,-0.10456461163022068,105.72710739770037,0.09274307666464944,14.267672998527642,0.8494736842105263,807.0,0.2894736842105263,55.0,0.7105263157894737,135.0,0.15052631578947367,143.0,0.9361948955916474,0.8494736842105263,0.890728476821192,0.4860160363346954,0.8603434903047091,0.9625954524412413,0.8263157894736842,0.26631578947368423,0.7336842105263157,0.1736842105263158,0.8610976647916007,0.8263157894736842,0.8384275768381728,0.4860160363346954,0.8603434903047091,0.9083061254800561,0.7338257768721345,0.8263157894736842,0.24,0.004,0.24,0.01,240.0,10.0,36713.0,3665903.0,410063.0,94.91228070175438,66.57894736842105,?,0.0,0.0,0.0,0.0,-420532.5250412467,-421190.5407748562,-421300.7130135028,-420182.7497591601,-419873.7497591601,?,?,?,?
flag,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010291939E7,10260.0,1140.0,928.0,212.0,0.0,81.40350877192982,18.596491228070175,0.0,0.39886578449905474,0.20227708089611854,0.390227777259362,72.80839719943798,104.70909880837876,741.0255856621533,996.4511380232681,-255.4255523611148,0.6500224435632923,0.8740799456344457,-0.22405750207115332,71.56108011170633,0.06277287729097046,9.657032293663919,0.86,817.0,0.41578947368421054,79.0,0.5842105263157895,111.0,0.14,133.0,0.9118303571428571,0.86,0.885157096424702,0.4036254393818101,0.8290526315789474,0.9570296218710858,0.8140350877192982,0.3698245614035088,0.6301754385964912,0.18596491228070175,0.8356783030835284,0.8140350877192982,0.8228843699084498,0.4036254393818101,0.8290526315789474,0.8915223844407368,0.6983389168759455,0.8140350877192982,0.243,0.004,0.25,0.0,250.0,0.0,38130.0,3665903.0,410063.0,93.33333333333333,65.08771929824562,?,0.0,0.0,0.0,0.0,-439663.4058820482,-440513.74600903975,-440612.9219204773,-439328.5304794039,-438973.5304794039,?,?,?,?
flag,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010291939E7,10260.0,1140.0,935.0,205.0,0.0,82.01754385964912,17.982456140350877,0.0,0.4508928571428571,0.1967279297218492,0.3741682073539095,70.81101419872411,100.39986407409064,741.0255856621533,837.851975502694,-96.82638984054074,0.6500224435632923,0.7349578732479772,-0.08493542968468486,79.18628376206472,0.06946165242286378,10.686039091525666,0.8473684210526315,805.0,0.3157894736842105,60.0,0.6842105263157895,130.0,0.15263157894736842,145.0,0.930635838150289,0.8473684210526315,0.8870523415977962,0.46305435737885675,0.8687645429362881,0.9677128959570201,0.8201754385964912,0.2885964912280702,0.7114035087719298,0.17982456140350878,0.8543177439131198,0.8201754385964912,0.8324002488225363,0.4630543573788568,0.8687645429362881,0.9118088953947062,0.7230960632720164,0.8201754385964912,0.24,0.004,0.24,0.0,240.0,0.0,37398.0,3665903.0,410063.0,95.26315789473684,67.10526315789474,?,0.0,0.0,0.0,0.0,-430589.1522755358,-431331.97587272193,-431434.86773250834,-430237.3083888596,-429906.3083888596,?,?,?,?
flag,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010291939E7,10260.0,1140.0,938.0,202.0,0.0,82.28070175438596,17.719298245614034,0.0,0.463716814159292,0.19538758898980307,0.37523188146583514,70.32856675599324,100.68527778417493,741.0255856621533,871.6541042972667,-130.62851863511344,0.6500224435632923,0.764608863418655,-0.11458641985536266,93.27982948076296,0.08182441182523066,12.587936406731695,0.8463157894736842,804.0,0.29473684210526313,56.0,0.7052631578947368,134.0,0.15368421052631578,146.0,0.9348837209302325,0.8463157894736842,0.8883977900552485,0.4775491138576004,0.860786703601108,0.9670699822163905,0.8228070175438597,0.2712280701754386,0.7287719298245614,0.17719298245614035,0.8588316722037652,0.8228070175438597,0.835366952705615,0.4775491138576004,0.860786703601108,0.9078282679814983,0.7293052780063477,0.8228070175438597,0.234,0.004,0.23,0.0,230.0,0.0,36965.0,3665903.0,410063.0,94.03508771929825,66.00877192982456,?,0.0,0.0,0.0,0.0,-421874.46528354444,-422569.45894348767,-422680.85567546025,-421533.94838864263,-421216.94838864263,?,?,?,?
flag,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010291939E7,10260.0,1140.0,924.0,216.0,0.0,81.05263157894737,18.94736842105263,0.0,0.430579964850615,0.20353689535490932,0.37679051432708804,73.26185970298448,101.10350286138782,741.0255856621533,878.2175947747653,-137.19200911261203,0.6500224435632923,0.7703663112059345,-0.12034386764264213,62.52515780529921,0.05484662965377123,8.43765168370388,0.8368421052631579,795.0,0.32105263157894737,61.0,0.6789473684210526,129.0,0.1631578947368421,155.0,0.9287383177570093,0.8368421052631579,0.8803986710963455,0.4444419306526543,0.8503324099722992,0.9631414192152659,0.8105263157894737,0.29473684210526313,0.7052631578947368,0.18947368421052632,0.8496528234829538,0.8105263157894737,0.8243828588250137,0.44444193065265425,0.8503324099722992,0.9011977415533585,0.7123512342823499,0.8105263157894737,0.234,0.009,0.23,0.01,230.0,10.0,36662.0,3665903.0,410063.0,94.73684210526316,67.98245614035088,?,0.0,0.0,0.0,0.0,-418712.4508591393,-419376.0137432053,-419477.7430970912,-418367.01585086714,-418060.01585086714,?,?,?,?
flag,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010291939E7,10260.0,1140.0,910.0,230.0,0.0,79.82456140350877,20.17543859649123,0.0,0.4102564102564103,0.21485600702043992,0.39946032191590164,77.33610466656482,107.1864504656183,741.0255856621533,1063.4694849221323,-322.44389925997905,0.6500224435632923,0.9328679692299406,-0.2828455256666483,15.222473318554796,0.013353046770662102,2.054243957710658,0.8210526315789474,780.0,0.3157894736842105,60.0,0.6842105263157895,130.0,0.17894736842105263,170.0,0.9285714285714286,0.8210526315789474,0.8715083798882681,0.427617987059879,0.8226204986149585,0.9527728603993617,0.7982456140350878,0.2929824561403509,0.7070175438596491,0.20175438596491227,0.8460317460317461,0.7982456140350878,0.8146923573898833,0.42761798705987897,0.8226204986149585,0.890219377009572,0.7010603123931136,0.7982456140350878,0.24,0.004,0.24,0.0,240.0,0.0,37518.0,3665903.0,410063.0,92.63157894736842,65.87719298245614,?,0.0,0.0,0.0,0.0,-424477.89569271053,-425248.2339097332,-425347.2995974046,-424135.26823751844,-423800.26823751844,?,?,?,?
