Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore,measureTreeSize,measureNumLeaves,measureNumRules,measureOutOfBagError
flag,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010301802E7,10260.0,1140.0,882.0,258.0,0.0,77.36842105263158,22.63157894736842,0.0,0.40735068912710565,0.2263016452503536,0.47425304502150656,81.45589209256883,127.25544373107557,741.0255856621533,43645.408930780795,-42904.383345118644,0.6500224435632923,38.28544643050947,-37.63542398694618,5.006130643057396,0.004391342669348593,0.675567853515355,0.7705263157894737,732.0,0.21052631578947367,40.0,0.7894736842105263,150.0,0.2294736842105263,218.0,0.9481865284974094,0.7705263157894737,0.8501742160278746,0.4463690463324788,0.8370249307479224,0.9473548454030722,0.7736842105263158,0.21368421052631578,0.7863157894736842,0.22631578947368422,0.8580902230232034,0.7736842105263158,0.7980842481235872,0.4463690463324788,0.8357950138504154,0.8583409051243649,0.6939043123150126,0.7736842105263158,4.965,0.035,4.94,0.03,4940.0,30.0,959215.0,3.3233364E7,3711924.0,77.89473684210526,50.43859649122807,?,0.0,0.0,0.0,0.0,-5915251.67947757,-5929365.043950762,-5930717.928678068,-5911582.305208098,-5906293.305208098,?,?,?,?
flag,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010301803E7,10260.0,1140.0,889.0,251.0,0.0,77.98245614035088,22.017543859649123,0.0,0.40615141955835954,0.2195713700809894,0.46679307520679275,79.03337073907828,125.25372380759299,741.0255856621533,38396.621429824954,-37655.5958441628,0.6500224435632923,33.6812468682675,-33.03122442470421,26.987967078897334,0.023673655332366084,3.641975068213317,0.7842105263157895,745.0,0.24210526315789474,46.0,0.7578947368421053,144.0,0.21578947368421053,205.0,0.9418457648546145,0.7842105263157895,0.8558299827685238,0.4383502631894465,0.8317119113573407,0.9475066824443219,0.7798245614035088,0.23771929824561402,0.762280701754386,0.22017543859649122,0.8536393790216343,0.7798245614035088,0.8022454556466209,0.4383502631894465,0.8342880886426592,0.8614726346082513,0.6950764014028148,0.7798245614035088,3.644,0.036,3.63,0.03,3630.0,30.0,969951.0,3.3233364E7,3711924.0,78.50877192982456,50.43859649122807,?,0.0,0.0,0.0,0.0,-5984375.96026174,-5999861.200617657,-6001445.818420784,-5981022.185505682,-5975377.185505682,?,?,?,?
flag,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010301803E7,10260.0,1140.0,921.0,219.0,0.0,80.78947368421052,19.210526315789473,0.0,0.48022151898734167,0.1924789950474034,0.436976406600081,69.28163616893936,117.2530721850874,741.0255856621533,35196.11390157921,-34455.088315917055,0.6500224435632923,30.873784124192287,-30.223761680628996,115.44228142226538,0.10126515914233805,15.578717342007886,0.8021052631578948,762.0,0.1631578947368421,31.0,0.8368421052631579,159.0,0.19789473684210526,188.0,0.9609079445145019,0.8021052631578948,0.8743545611015491,0.5174904718229695,0.8571246537396122,0.9550114251212961,0.8078947368421052,0.16894736842105262,0.8310526315789474,0.19210526315789472,0.8771254965094433,0.8078947368421052,0.8273252627429111,0.5174904718229695,0.856685595567867,0.8723842257457465,0.7332666660256348,0.8078947368421052,3.644,0.036,3.63,0.03,3630.0,30.0,961255.0,3.3233364E7,3711924.0,81.14035087719299,50.43859649122807,?,0.0,0.0,0.0,0.0,-5888875.712892938,-5903222.840140605,-5904751.353345013,-5885384.177615246,-5880031.177615246,?,?,?,?
flag,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010301803E7,10260.0,1140.0,902.0,238.0,0.0,79.12280701754386,20.87719298245614,0.0,0.44305772230889245,0.20840650292440857,0.4551522581050065,75.01464514241631,122.13016485266223,741.0255856621533,33219.02036515091,-32477.994779488756,0.6500224435632923,29.13949154837799,-28.4894691048147,63.11733682757199,0.05536608493646666,8.517565121745784,0.7873684210526316,748.0,0.18947368421052632,36.0,0.8105263157894737,154.0,0.21263157894736842,202.0,0.9540816326530612,0.7873684210526316,0.8627450980392157,0.48081754118483405,0.8566925207756233,0.9545169295937835,0.7912280701754386,0.19333333333333333,0.8066666666666666,0.20877192982456141,0.867165405488038,0.7912280701754386,0.8129713423831071,0.48081754118483405,0.8573748845798708,0.8709125752470996,0.7134238310708899,0.7912280701754386,3.851,0.037,3.84,0.04,3840.0,40.0,967000.0,3.3233364E7,3711924.0,79.64912280701755,50.43859649122807,?,0.0,0.0,0.0,0.0,-5905357.72674601,-5920437.447697426,-5922080.566313551,-5902011.497796261,-5896464.497796261,?,?,?,?
flag,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010301803E7,10260.0,1140.0,906.0,234.0,0.0,79.47368421052632,20.526315789473685,0.0,0.44897959183673475,0.2049203653297231,0.4510720183939971,73.75983125267017,121.03532166629932,741.0255856621533,34500.66399613811,-33759.638410475956,0.6500224435632923,30.26374034748957,-29.61371790392628,74.66708356559738,0.06549744172420822,10.076181580002748,0.791578947368421,752.0,0.18947368421052632,36.0,0.8105263157894737,154.0,0.20842105263157895,198.0,0.9543147208121827,0.791578947368421,0.8653624856156501,0.4857094868167147,0.8584432132963989,0.955052226505036,0.7947368421052632,0.1926315789473684,0.8073684210526315,0.20526315789473684,0.8681789340101522,0.7947368421052632,0.8158463517891795,0.4857094868167148,0.8593047091412743,0.8733213271761661,0.7168140841362383,0.7947368421052632,3.924,0.04,3.92,0.04,3920.0,40.0,963919.0,3.3233364E7,3711924.0,79.91228070175438,50.43859649122807,?,0.0,0.0,0.0,0.0,-5860496.215618935,-5875244.796355851,-5876819.782183834,-5857119.750080601,-5851674.750080602,?,?,?,?
flag,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010301803E7,10260.0,1140.0,922.0,218.0,0.0,80.87719298245614,19.12280701754386,0.0,0.4734299516908212,0.19160486270641497,0.4357760816443332,68.96699758306691,116.93099120644392,741.0255856621533,34283.655004329165,-33542.62941866701,0.6500224435632923,30.07338158274488,-29.423359139181592,117.5413796390615,0.1031064733675978,15.861986672704537,0.8084210526315789,768.0,0.18947368421052632,36.0,0.8105263157894737,154.0,0.19157894736842104,182.0,0.9552238805970149,0.8084210526315789,0.8757126567844926,0.5059349259081956,0.8512825484764543,0.9533729023912931,0.8087719298245614,0.18982456140350878,0.8101754385964912,0.1912280701754386,0.8724087893864013,0.8087719298245614,0.8273524357868236,0.5059349259081956,0.8531195752539243,0.8712035618012863,0.7306319937914858,0.8087719298245614,4.167,0.036,4.14,0.04,4140.0,40.0,966275.0,3.3233364E7,3711924.0,81.3157894736842,50.43859649122807,?,0.0,0.0,0.0,0.0,-5898256.598684421,-5913281.241985157,-5914803.832653488,-5894828.832241746,-5889307.832241746,?,?,?,?
flag,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010301803E7,10260.0,1140.0,882.0,258.0,0.0,77.36842105263158,22.63157894736842,0.0,0.40735068912710565,0.2245528705978251,0.4722277768951347,80.82643136004525,126.71200727494451,741.0255856621533,47013.940889802085,-46272.91530413993,0.6500224435632923,41.24029902614218,-40.59027658257889,11.86287346546945,0.010406029355674955,1.6008723173666428,0.7705263157894737,732.0,0.21052631578947367,40.0,0.7894736842105263,150.0,0.2294736842105263,218.0,0.9481865284974094,0.7705263157894737,0.8501742160278746,0.4463690463324788,0.8413268698060942,0.9520022705630667,0.7736842105263158,0.21368421052631578,0.7863157894736842,0.22631578947368422,0.8580902230232034,0.7736842105263158,0.7980842481235872,0.4463690463324788,0.8404473684210525,0.862093785126945,0.6939043123150126,0.7736842105263158,3.896,0.036,3.88,0.03,3880.0,30.0,964252.0,3.3233364E7,3711924.0,78.0701754385965,50.43859649122807,?,0.0,0.0,0.0,0.0,-5905769.117282406,-5920468.906108318,-5922018.148220518,-5902267.464060457,-5896808.464060457,?,?,?,?
flag,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010301803E7,10260.0,1140.0,918.0,222.0,0.0,80.52631578947368,19.473684210526315,0.0,0.4602917341977308,0.19481677691530835,0.44056133337335207,70.12310644352515,118.21500896559944,741.0255856621533,33946.98905458181,-33205.96346891966,0.6500224435632923,29.778060574194573,-29.128038130631282,108.28611224447239,0.09498781775830911,14.6130058583216,0.8084210526315789,768.0,0.21052631578947367,40.0,0.7894736842105263,150.0,0.19157894736842104,182.0,0.9504950495049505,0.8084210526315789,0.8737201365187712,0.4904430801706472,0.8450831024930748,0.9499605722529691,0.8052631578947368,0.2073684210526316,0.7926315789473685,0.19473684210526315,0.8673804127400692,0.8052631578947368,0.8238855543786696,0.49044308017064714,0.8464409048938135,0.8681528500480403,0.7242163900984661,0.8052631578947368,5.045,0.035,4.91,0.04,4910.0,40.0,960575.0,3.3233364E7,3711924.0,80.6140350877193,50.13157894736842,?,0.0,0.0,0.0,0.0,-5843020.707416964,-5857294.692754986,-5858835.229210889,-5839525.941546063,-5834188.941546064,?,?,?,?
flag,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010301803E7,10260.0,1140.0,899.0,241.0,0.0,78.85964912280701,21.140350877192983,0.0,0.43160377358490576,0.21179918683530316,0.4587171936670037,76.2358209506801,123.08673742837247,741.0255856621533,37341.70014272014,-36600.67455705799,0.6500224435632923,32.755877318175564,-32.10585487461227,52.550269375264314,0.04609672752216168,7.091559372853142,0.7884210526315789,749.0,0.21052631578947367,40.0,0.7894736842105263,150.0,0.21157894736842106,201.0,0.9493029150823827,0.7884210526315789,0.8614146060954571,0.46654687246396603,0.8350138504155125,0.9467420917307653,0.7885964912280702,0.2107017543859649,0.789298245614035,0.21140350877192982,0.8623108337937234,0.7885964912280702,0.8102669468540392,0.466546872463966,0.8370272391505078,0.863266660127362,0.7079716283712035,0.7885964912280702,4.396,0.039,4.39,0.04,4390.0,40.0,967777.0,3.3233364E7,3711924.0,79.29824561403508,50.526315789473685,?,0.0,0.0,0.0,0.0,-5928679.271497266,-5943900.871206708,-5945460.001375546,-5925296.864752712,-5919723.864752712,?,?,?,?
flag,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02010301803E7,10260.0,1140.0,878.0,262.0,0.0,77.01754385964912,22.982456140350877,0.0,0.3771790808240886,0.2287436628536658,0.47645362642179706,82.33488138212303,127.84592167423274,741.0255856621533,45751.26772442957,-45010.24213876742,0.6500224435632923,40.13269098634173,-39.482668542778434,-1.6454112883464695,-0.00144334323539164,-0.2220451385462204,0.78,741.0,0.2789473684210526,53.0,0.7210526315789474,137.0,0.22,209.0,0.9332493702770781,0.78,0.849770642201835,0.4061380225479427,0.7917008310249307,0.9317754470237789,0.7701754385964912,0.2691228070175439,0.7308771929824561,0.22982456140350876,0.8437001014351373,0.7701754385964912,0.7933412068099869,0.4061380225479427,0.794275161588181,0.8419416032512321,0.6804823360262906,0.7701754385964912,4.17,0.039,4.16,0.04,4160.0,40.0,968714.0,3.3233364E7,3711924.0,77.54385964912281,50.526315789473685,?,0.0,0.0,0.0,0.0,-6000620.394972204,-6015949.1695295395,-6017438.5458163,-5997152.397055452,-5991545.397055452,?,?,?,?
