#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PSMA1	PSMB4	4448731	4436872	9606.ENSP00000414359	9606.ENSP00000290541	0	0	0	0	0.925	0.993	0.900	0.715	0.999
EFTUD2	SF3B1	4447727	4440663	9606.ENSP00000392094	9606.ENSP00000335321	0	0	0	0	0.476	0.966	0.900	0.824	0.999
PSMB4	PSMA5	4436872	4435972	9606.ENSP00000290541	9606.ENSP00000271308	0	0	0	0	0.956	0.993	0.900	0.736	0.999
ALYREF	SRSF1	4449181	4434667	9606.ENSP00000421592	9606.ENSP00000258962	0	0	0.226	0	0.944	0.881	0.900	0.499	0.999
PSMA5	PSMC4	4435972	4432671	9606.ENSP00000271308	9606.ENSP00000157812	0.059	0	0	0	0.892	0.992	0.900	0.709	0.999
HNRNPA1	SRSF1	4441190	4434667	9606.ENSP00000341826	9606.ENSP00000258962	0	0	0.297	0	0.953	0.427	0.900	0.858	0.999
SNRNP200	LSM8	4439101	4434090	9606.ENSP00000317123	9606.ENSP00000249299	0	0	0	0	0.163	0.985	0.900	0.457	0.999
PTBP1	HNRNPA1	4441922	4441190	9606.ENSP00000349428	9606.ENSP00000341826	0	0	0	0	0.949	0.771	0.900	0.761	0.999
PRPF8	SF3B1	4450629	4440663	9606.ENSP00000460348	9606.ENSP00000335321	0	0	0	0	0.879	0.968	0.900	0.490	0.999
COG2	COG3	4442720	4434646	9606.ENSP00000355629	9606.ENSP00000258654	0	0	0	0	0.484	0.985	0.900	0.972	0.999
CNOT10	CNOT11	4448090	4436809	9606.ENSP00000399862	9606.ENSP00000289382	0	0	0	0	0.107	0.963	0.900	0.910	0.999
SNX2	VPS35	4445228	4437537	9606.ENSP00000368831	9606.ENSP00000299138	0	0	0	0	0.098	0.959	0.720	0.935	0.999
SNRPB	SNRPD3	4448654	4432879	9606.ENSP00000412566	9606.ENSP00000215829	0	0	0	0	0.555	0.992	0.900	0.857	0.999
