#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CCT3	CCT7	4437177	4434598	9606.ENSP00000295688	9606.ENSP00000258091	0	0	0.371	0.822	0.996	0.969	0.900	0.884	0.999
POLR2A	POLR2H	4451459	4448791	9606.ENSP00000480158	9606.ENSP00000415536	0	0	0	0	0.071	0.998	0.900	0.865	0.999
COPB2	COPB1	4440101	4434113	9606.ENSP00000329419	9606.ENSP00000249923	0	0	0	0	0.923	0.982	0.900	0.891	0.999
SMC3	WAPAL	4442527	4437519	9606.ENSP00000354720	9606.ENSP00000298767	0	0	0	0	0.144	0.891	0.900	0.949	0.999
PSMB3	PSMD1	4451799	4438504	9606.ENSP00000483688	9606.ENSP00000309474	0	0	0	0	0.438	0.991	0.900	0.612	0.999
MED12	MED4	4444316	4434645	9606.ENSP00000363193	9606.ENSP00000258648	0	0	0	0	0.241	0.993	0.900	0.545	0.999
SEC31A	SEC13	4446393	4445779	9606.ENSP00000378721	9606.ENSP00000373312	0	0	0	0	0.202	0.960	0.900	0.937	0.999
TXNIP	TXN	4450672	4444406	9606.ENSP00000462521	9606.ENSP00000363641	0	0	0	0	0.058	0.912	0.900	0.937	0.999
COPZ1	COPB2	4450281	4440101	9606.ENSP00000449270	9606.ENSP00000329419	0	0	0	0	0.382	0.978	0.900	0.905	0.999
B2M	HLA-E	4450405	4444757	9606.ENSP00000452780	9606.ENSP00000365817	0	0	0	0	0.347	0.962	0.900	0.640	0.999
POLR2A	SUPT5H	4451459	4450951	9606.ENSP00000480158	9606.ENSP00000470252	0.042	0	0	0.542	0.186	0.987	0.900	0.854	0.999
COG4	COG3	4439024	4434646	9606.ENSP00000315775	9606.ENSP00000258654	0	0	0	0	0.198	0.980	0.900	0.959	0.999
PSMC5	PSMD1	4438605	4438504	9606.ENSP00000310572	9606.ENSP00000309474	0	0	0	0	0.891	0.993	0.900	0.791	0.999
PSMB8	PSMD4	4444469	4443212	9606.ENSP00000364016	9606.ENSP00000357879	0	0	0	0	0.658	0.946	0.900	0.583	0.999
SMC3	PDS5B	4442527	4438887	9606.ENSP00000354720	9606.ENSP00000313851	0	0	0	0	0.763	0.927	0.900	0.784	0.999
ATM	TP53	4436300	4435880	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0	0.563	0.900	0.984	0.999
SMC4	NCAPG	4441992	4434176	9606.ENSP00000349961	9606.ENSP00000251496	0	0	0	0	0.997	0.990	0.900	0.884	0.999
EEF1B2	EEF1A1	4445998	4440919	9606.ENSP00000376056	9606.ENSP00000339063	0	0	0	0	0.732	0.962	0.900	0.883	0.999
VPS11	VPS33A	4451566	4435748	9606.ENSP00000481126	9606.ENSP00000267199	0	0	0	0	0.247	0.921	0.900	0.859	0.999
COG5	COG3	4437367	4434646	9606.ENSP00000297135	9606.ENSP00000258654	0	0	0	0	0.195	0.969	0.900	0.962	0.999
PSMC5	PSMB4	4438605	4436872	9606.ENSP00000310572	9606.ENSP00000290541	0	0	0	0	0.866	0.993	0.900	0.710	0.999
SYVN1	OS9	4444847	4439184	9606.ENSP00000366395	9606.ENSP00000318165	0	0	0	0	0.183	0.917	0.900	0.877	0.999
CCT2	CCT3	4437556	4437177	9606.ENSP00000299300	9606.ENSP00000295688	0	0	0.332	0.767	0.993	0.967	0.900	0.860	0.999
HSPD1	HSPE1	4445814	4433608	9606.ENSP00000373620	9606.ENSP00000233893	0.072	0	0.271	0	0.963	0.969	0	0.988	0.999
CYFIP2	ABI1	4450126	4444683	9606.ENSP00000444645	9606.ENSP00000365312	0	0	0	0	0.080	0.988	0.900	0.800	0.999
PSMB3	PSMB4	4451799	4436872	9606.ENSP00000483688	9606.ENSP00000290541	0	0	0	0	0.954	0.993	0.900	0.915	0.999
CCT2	CCT7	4437556	4434598	9606.ENSP00000299300	9606.ENSP00000258091	0	0	0.291	0.836	0.993	0.966	0.900	0.895	0.999
HNRNPA2B1	HNRNPA1	4441649	4441190	9606.ENSP00000346694	9606.ENSP00000341826	0	0	0.442	0.962	0.958	0.810	0.900	0.912	0.999
P4HB	CALR	4439955	4439395	9606.ENSP00000327801	9606.ENSP00000320866	0	0	0	0	0.856	0.870	0	0.958	0.999
EEF1B2	EEF1G	4445998	4440309	9606.ENSP00000376056	9606.ENSP00000331901	0	0	0	0	0.953	0.990	0.900	0.953	0.999
PSMC5	PSMD7	4438605	4433080	9606.ENSP00000310572	9606.ENSP00000219313	0	0	0	0	0.903	0.994	0.900	0.793	0.999
PSMD4	PSMB4	4443212	4436872	9606.ENSP00000357879	9606.ENSP00000290541	0	0	0	0	0.777	0.991	0.900	0.603	0.999
HNRNPF	HNRNPA2B1	4448121	4441649	9606.ENSP00000400433	9606.ENSP00000346694	0	0	0	0	0.923	0.608	0.900	0.755	0.999
PSMD1	PSMA4	4438504	4432626	9606.ENSP00000309474	9606.ENSP00000044462	0	0	0	0	0.848	0.992	0.900	0.559	0.999
RABEP1	RAB5A	4450158	4436053	9606.ENSP00000445408	9606.ENSP00000273047	0	0	0	0	0.063	0.876	0.900	0.967	0.999
PDS5B	WAPAL	4438887	4437519	9606.ENSP00000313851	9606.ENSP00000298767	0	0	0	0	0.223	0.992	0.900	0.746	0.999
PSMB3	PSMB8	4451799	4444469	9606.ENSP00000483688	9606.ENSP00000364016	0	0	0	0.639	0.661	0.991	0.900	0.794	0.999
POLR2A	GTF2F2	4451459	4441082	9606.ENSP00000480158	9606.ENSP00000340823	0	0	0	0	0.168	0.993	0.900	0.702	0.999
PSMB4	PSMD7	4436872	4433080	9606.ENSP00000290541	9606.ENSP00000219313	0	0	0	0	0.756	0.994	0.900	0.566	0.999
SMARCC2	SMARCB1	4435738	4435202	9606.ENSP00000267064	9606.ENSP00000263121	0	0	0	0	0.141	0.967	0.900	0.863	0.999
HEATR1	UTP6	4442698	4434930	9606.ENSP00000355541	9606.ENSP00000261708	0	0	0	0	0.844	0.797	0.900	0.836	0.999
EIF4B	EIF4A1	4447567	4437038	9606.ENSP00000388806	9606.ENSP00000293831	0	0	0	0	0.375	0.623	0.900	0.962	0.999
TP53	MDM2	4435880	4434604	9606.ENSP00000269305	9606.ENSP00000258149	0	0	0	0	0.236	0.987	0.900	0.974	0.999
PSMB4	PSMA4	4436872	4432626	9606.ENSP00000290541	9606.ENSP00000044462	0	0	0	0	0.919	0.994	0.900	0.658	0.999
TAF1	TAF7	4448421	4438816	9606.ENSP00000406549	9606.ENSP00000312709	0	0	0	0	0.152	0.993	0.900	0.878	0.999
PSMB3	PSMC5	4451799	4438605	9606.ENSP00000483688	9606.ENSP00000310572	0	0	0	0	0.844	0.993	0.900	0.670	0.999
COG4	COG5	4439024	4437367	9606.ENSP00000315775	9606.ENSP00000297135	0	0	0	0	0.208	0.957	0.900	0.895	0.999
CCT8	CCT7	4436697	4434598	9606.ENSP00000286788	9606.ENSP00000258091	0	0	0.406	0.727	0.993	0.955	0.900	0.894	0.999
COL4A1	COL4A2	4444632	4442382	9606.ENSP00000364979	9606.ENSP00000353654	0	0	0.433	0.886	0.963	0.886	0.900	0.870	0.999
PSMD4	PSMD7	4443212	4433080	9606.ENSP00000357879	9606.ENSP00000219313	0	0	0	0	0.893	0.991	0.900	0.869	0.999
PSMD1	PSMD7	4438504	4433080	9606.ENSP00000309474	9606.ENSP00000219313	0	0	0	0	0.957	0.994	0.900	0.807	0.999
B2M	HLA-B	4450405	4448060	9606.ENSP00000452780	9606.ENSP00000399168	0	0	0	0	0.366	0.971	0.900	0.699	0.999
ULK1	RB1CC1	4439696	4432608	9606.ENSP00000324560	9606.ENSP00000025008	0	0	0	0	0.061	0.836	0.900	0.954	0.999
RHOA	ARHGEF11	4448110	4443061	9606.ENSP00000400175	9606.ENSP00000357177	0	0	0	0	0.061	0.977	0.900	0.789	0.999
EEF1D	EEF1G	4448537	4440309	9606.ENSP00000410059	9606.ENSP00000331901	0	0	0	0	0.800	0.989	0.900	0.930	0.999
UTP6	UTP3	4434930	4434386	9606.ENSP00000261708	9606.ENSP00000254803	0	0	0	0	0.858	0.798	0.900	0.788	0.999
CCT3	CCT8	4437177	4436697	9606.ENSP00000295688	9606.ENSP00000286788	0	0	0.324	0.744	0.992	0.968	0.900	0.883	0.999
STK11	CAB39	4439722	4434629	9606.ENSP00000324856	9606.ENSP00000258418	0	0	0	0	0	0.979	0.900	0.870	0.999
MED12	MED21	4444316	4436513	9606.ENSP00000363193	9606.ENSP00000282892	0	0	0	0	0	0.993	0.900	0.424	0.999
PLEC	ITGB4	4439640	4432778	9606.ENSP00000323856	9606.ENSP00000200181	0	0	0	0	0.107	0.970	0.900	0.741	0.999
PSMB8	PSMD7	4444469	4433080	9606.ENSP00000364016	9606.ENSP00000219313	0	0	0	0	0.635	0.963	0.900	0.392	0.999
S100A9	S100A8	4443166	4443164	9606.ENSP00000357727	9606.ENSP00000357722	0	0	0	0.801	0.995	0.877	0.900	0.882	0.999
PSMB8	PSMB4	4444469	4436872	9606.ENSP00000364016	9606.ENSP00000290541	0	0	0	0.598	0.727	0.991	0.900	0.797	0.999
PSMD1	PSMB4	4438504	4436872	9606.ENSP00000309474	9606.ENSP00000290541	0	0	0	0	0.548	0.992	0.900	0.724	0.999
PSMD4	PSMC5	4443212	4438605	9606.ENSP00000357879	9606.ENSP00000310572	0	0	0	0	0.889	0.992	0.900	0.746	0.999
EMC4	EMC2	4435777	4433136	9606.ENSP00000267750	9606.ENSP00000220853	0	0	0	0	0.441	0.960	0.900	0.869	0.999
PSMD4	PSMD1	4443212	4438504	9606.ENSP00000357879	9606.ENSP00000309474	0	0	0	0	0.713	0.991	0.900	0.782	0.999
CALR	PDIA3	4439395	4437661	9606.ENSP00000320866	9606.ENSP00000300289	0	0	0	0	0.939	0.883	0.900	0.967	0.999
SMG1	PABPC1	4448235	4438834	9606.ENSP00000402515	9606.ENSP00000313007	0	0	0	0	0.068	0.993	0.900	0.498	0.999
